Fund Level
Fund Name,iShares MSCI Kokusai ETF
Fund Ticker,TOK
Fund ISIN,US4642882652
Fund Cusip,464288265
Fund LEI,
Total NAV per share,61.439089,Jan 23 2019
Distribution per Share,,
Fund Size,141309904.70,Jan 23 2019
Shares Outstanding,2300000,Jan 23 2019
Baskets Outstanding,46.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,1120.14,Jan 24 2019
Projected Cash for Deliverable Basket,103060.75,Jan 24 2019
Confirmed Cash for Deliverable Basket,103079.99,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,1&1 DRILLISCH AG,,D23138106,DE0005545503,5734672,4,4.91304,0.00000,43.991206,EUR,1.000000,,,,,,,
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,88,88.08695,0.00000,10.614175,GBP,1.000000,,,,,,,
EQUITY,3M,,88579Y101,US88579Y1010,2595708,52,52.00000,0.00000,192.290000,USD,1.000000,,,,,,,
EQUITY,A O SMITH CORP,,831865209,US8318652091,2816023,13,13.00000,0.00000,46.480000,USD,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK,,K0514G135,DK0010244425,4253059,0,0.36956,0.00000,1242.827642,DKK,1.000000,,,,,,,
EQUITY,A P MOLLER MAERSK B,,K0514G101,DK0010244508,4253048,0,0.50000,0.00000,1325.276417,DKK,1.000000,,,,,,,
EQUITY,ABB LTD,,H0010V101,CH0012221716,7108899,159,159.10869,0.00000,19.040924,CHF,1.000000,,,,,,,
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,156,156.00000,0.00000,69.910000,USD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,133,133.84782,0.00000,88.450000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,4,4.00000,0.00000,336.980000,USD,1.000000,,,,,,,
EQUITY,ABN AMRO GROUP NV,,N0162C102,NL0011540547,BYQP136,40,40.54347,0.00000,25.534472,EUR,1.000000,,,,,,,
EQUITY,ACCENTURE PLC CLASS A,,G1151C101,IE00B4BNMY34,B4BNMY3,57,57.32608,0.00000,148.420000,USD,1.000000,,,,,,,
EQUITY,ACCOR SA,,F00189120,FR0000120404,5852842,17,17.02173,0.00000,44.025343,EUR,1.000000,,,,,,,
EQUITY,ACS ACTIVIDADES DE CONSTRUCCION Y,,E7813W163,ES0167050915,B01FLQ6,21,21.52173,0.00000,40.554749,EUR,1.000000,,,,,,,
EQUITY,ACTIVIDADES DE CONSTRUCCION Y SERV,,,ES06670509E9,BFMXP84,0,0.00000,21.52173,0.523775,EUR,1.000000,,,,,,,
EQUITY,ACTIVISION BLIZZARD INC,,00507V109,US00507V1098,2575818,64,64.89130,0.00000,46.020000,USD,1.000000,,,,,,,
EQUITY,ACUITY BRANDS INC,,00508Y102,US00508Y1029,2818461,4,4.00000,0.00000,115.550000,USD,1.000000,,,,,,,
EQUITY,ADECCO GROUP AG,,H00392318,CH0012138605,7110720,14,14.69565,0.00000,50.815968,CHF,1.000000,,,,,,,
EQUITY,ADIDAS N AG,,D0066B185,DE000A1EWWW0,4031976,16,16.52173,0.00000,235.886629,EUR,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,18,18.34782,0.00000,27.521618,GBP,1.000000,,,,,,,
EQUITY,ADOBE INC,,00724F101,US00724F1012,2008154,43,43.30434,0.00000,245.140000,USD,1.000000,,,,,,,
EQUITY,ADVANCE AUTO PARTS INC,,00751Y106,US00751Y1064,2822019,6,6.65217,0.00000,164.330000,USD,1.000000,,,,,,,
EQUITY,ADVANCED MICRO DEVICES INC,,007903107,US0079031078,2007849,83,83.06521,0.00000,19.800000,USD,1.000000,,,,,,,
EQUITY,AEGON NV,,N00927298,NL0000303709,5927375,144,144.17391,0.00000,5.079585,EUR,1.000000,,,,,,,
EQUITY,AENA SME SA,,E526K0106,ES0105046009,BVRZ8L1,6,6.04347,0.00000,169.262595,EUR,1.000000,,,,,,,
EQUITY,AERCAP HOLDINGS NV,,N00985106,NL0000687663,B1HHKD3,13,13.00000,0.00000,45.020000,USD,1.000000,,,,,,,
EQUITY,AEROPORTS DE PARIS SA,,F00882104,FR0010340141,B164FY1,2,2.65217,0.00000,188.891367,EUR,1.000000,,,,,,,
EQUITY,AES CORP,,00130H105,US00130H1059,2002479,64,64.00000,0.00000,15.870000,USD,1.000000,,,,,,,
EQUITY,AFFILIATED MANAGERS GROUP INC,,008252108,US0082521081,2127899,5,5.06521,0.00000,106.500000,USD,1.000000,,,,,,,
EQUITY,AFLAC INC,,001055102,US0010551028,2026361,68,68.65217,0.00000,47.640000,USD,1.000000,,,,,,,
EQUITY,AGEAS NV,,B0148L138,BE0974264930,B86S2N0,17,17.00000,0.00000,46.312522,EUR,1.000000,,,,,,,
EQUITY,AGILENT TECHNOLOGIES INC,,00846U101,US00846U1016,2520153,29,29.21739,0.00000,71.650000,USD,1.000000,,,,,,,
EQUITY,AGL ENERGY LTD,,Q01630195,AU000000AGL7,BSS7GP5,59,59.80434,0.00000,15.019995,AUD,1.000000,,,,,,,
EQUITY,AGNC INVESTMENT REIT CORP,,00123Q104,US00123Q1040,BYYHJL8,44,44.02173,0.00000,18.010000,USD,1.000000,,,,,,,
EQUITY,AGNICO EAGLE MINES LTD,,008474108,CA0084741085,2009823,20,20.65217,0.00000,39.135969,CAD,1.000000,,,,,,,
EQUITY,AIA GROUP LTD,,Y002A1105,HK0000069689,B4TX8S1,1000,1065.21739,0.00000,8.724913,HKD,1.000000,,,,,,,
EQUITY,AIB GROUP,,G0R4HJ106,IE00BF0L3536,BF0L353,70,70.52173,0.00000,4.665389,EUR,1.000000,,,,,,,
