Fund Level
Fund Name,iShares MSCI Turkey ETF
Fund Ticker,TUR
Fund ISIN,US4642867158
Fund Cusip,464286715
Fund LEI,
Total NAV per share,27.298519,Jan 23 2019
Distribution per Share,,
Fund Size,571903973.05,Jan 23 2019
Shares Outstanding,20950000,Jan 23 2019
Baskets Outstanding,419.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,883.97,Jan 24 2019
Projected Cash for Deliverable Basket,989.79,Jan 24 2019
Confirmed Cash for Deliverable Basket,1004.83,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AKBANK A,,M0300L106,TRAAKBNK91N6,B03MN70,93005,93005.50978,0.00000,1.225949,TRY,1.000000,,,,,,,
EQUITY,AKSA AKRILIK KIMYA SANAYI A,,M0375X100,TRAAKSAW91E1,B03MNB4,2834,2834.43436,0.00000,1.498382,TRY,1.000000,,,,,,,
EQUITY,AKSA ENERJI URETIM A,,M03829104,TREAKSN00011,B3Y1WH0,5127,5127.15035,0.00000,0.542974,TRY,1.000000,,,,,,,
EQUITY,ANADOLU ANONIM TURK SIGORTA SIRKET,,M10028104,TRAANSGR91O1,B03MNW5,6555,6555.87112,0.00000,0.821083,TRY,1.000000,,,,,,,
EQUITY,ANADOLU CAM SANAYII A,,M1015M108,TRAANACM91F7,B03MNX6,6181,6181.89267,0.00000,0.518380,TRY,1.000000,,,,,,,
EQUITY,ANADOLU EFES BIRACILIK VE MALT SAN,,M10225106,TRAAEFES91A9,B03MNV4,6758,6758.68973,0.00000,4.056227,TRY,1.000000,,,,,,,
EQUITY,ANADOLU GRUBU HOLDING A,,M9879B100,TRAYAZIC91Q6,B03MZM9,3214,3214.31742,0.00000,2.141627,TRY,1.000000,,,,,,,
EQUITY,ANADOLU HAYAT EMEKLILIK A,,M1032D107,TRAANHYT91O3,B03MNY7,2821,2821.31980,0.00000,1.102976,TRY,1.000000,,,,,,,
EQUITY,ARCELIK A,,M1490L104,TRAARCLK91H5,B03MP18,6609,6609.83770,0.00000,3.509469,TRY,1.000000,,,,,,,
EQUITY,ASELSAN ELEKTRONIK SANAYI VE TICAR,,M1501H100,TRAASELS91H2,B03MP41,11139,11139.58711,0.00000,4.672986,TRY,1.000000,,,,,,,
