Fund Level
Fund Name,iShares Core U.S. REIT ETF
Fund Ticker,USRT
Fund ISIN,US4642885218
Fund Cusip,464288521
Fund LEI,
Total NAV per share,47.648480,Jan 23 2019
Distribution per Share,,
Fund Size,976793840.00,Jan 23 2019
Shares Outstanding,20500000,Jan 23 2019
Baskets Outstanding,410.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,683.98,Jan 24 2019
Projected Cash for Deliverable Basket,44509.8,Jan 24 2019
Confirmed Cash for Deliverable Basket,44486.97,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ACADIA REALTY TRUST REIT,,004239109,US0042391096,2566522,229,229.35122,0.00000,26.460000,USD,1.000000,,,,,,,
EQUITY,AGREE REALTY REIT CORP,,008492100,US0084921008,2062161,95,95.19024,0.00000,61.290000,USD,1.000000,,,,,,,
EQUITY,ALEXANDER & BALDWIN INC,,014491104,US0144911049,B827VB2,195,194.86829,0.00000,21.900000,USD,1.000000,,,,,,,
EQUITY,ALEXANDERS REIT INC,,014752109,US0147521092,2014021,6,6.05366,0.00000,316.610000,USD,1.000000,,,,,,,
EQUITY,ALEXANDRIA REAL ESTATE EQUITIES RE,,015271109,US0152711091,2009210,304,303.87317,0.00000,123.800000,USD,1.000000,,,,,,,
EQUITY,AMERICAN ASSETS TRUST REIT INC,,024013104,US0240131047,B3NTLD4,110,109.74146,0.00000,40.630000,USD,1.000000,,,,,,,
EQUITY,AMERICAN CAMPUS COMMUNITIES REIT I,,024835100,US0248351001,B02H871,389,389.19756,0.00000,44.100000,USD,1.000000,,,,,,,
EQUITY,AMERICAN FIN INC TRUST CLASS A,,02607T109,US02607T1097,BD6NYB2,156,155.74634,0.00000,12.890000,USD,1.000000,,,,,,,
EQUITY,AMERICAN HOMES  RENT REIT CLASS A,,02665T306,US02665T3068,BCF5RR9,739,738.76341,0.00000,21.140000,USD,1.000000,,,,,,,
EQUITY,AMERICOLD REALTY TRUST,,03064D108,US03064D1081,B3SKZK7,246,245.82927,0.00000,28.280000,USD,1.000000,,,,,,,
EQUITY,APARTMENT INVESTMENT AND MANAGEMEN,,03748R101,US03748R1014,2057059,441,441.29268,0.00000,47.390000,USD,1.000000,,,,,,,
EQUITY,APPLE HOSPITALITY REIT INC,,03784Y200,US03784Y2000,BXRTX56,619,618.90732,0.00000,15.410000,USD,1.000000,,,,,,,
EQUITY,ARMADA HOFFLER PROPERTIES REIT INC,,04208T108,US04208T1088,B96FTB5,140,140.03171,0.00000,14.410000,USD,1.000000,,,,,,,
EQUITY,ASHFORD HOSPITALITY TRUST REIT INC,,044103109,US0441031095,2310116,244,243.78049,0.00000,4.610000,USD,1.000000,,,,,,,
EQUITY,AVALONBAY COMMUNITIES REIT INC,,053484101,US0534841012,2131179,395,394.76829,0.00000,184.940000,USD,1.000000,,,,,,,
EQUITY,BLUEROCK RESIDENTIAL GROWTH REIT C,,09627J102,US09627J1025,BKWBZX8,70,69.83902,0.00000,10.440000,USD,1.000000,,,,,,,
EQUITY,BOSTON PROPERTIES REIT INC,,101121101,US1011211018,2019479,442,441.65122,0.00000,120.780000,USD,1.000000,,,,,,,
