Fund Level
Fund Name,iShares Edge MSCI USA Value Factor ETF
Fund Ticker,VLUE
Fund ISIN,US46432F3881
Fund Cusip,46432F388
Fund LEI,
Total NAV per share,77.564565,Jan 23 2019
Distribution per Share,,
Fund Size,3432232001.25,Jan 23 2019
Shares Outstanding,44250000,Jan 23 2019
Baskets Outstanding,885.000000000000,Jan 23 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,

Basket Level
Trade Date,Jan 24 2019
Settlement Date,
Shares per Basket (PNU),50000
Projected Transaction Fee,,
Confirmed Transaction Fee,,
Projected Cash for Pricing Basket,566.55,Jan 24 2019
Projected Cash for Deliverable Basket,9623.85,Jan 24 2019
Confirmed Cash for Deliverable Basket,9199.96,Jan 23 2019
Metal Entitlement,,

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AES CORP,,00130H105,US00130H1059,2002479,617,617.00904,0.00000,15.870000,USD,1.000000,,,,,,,
EQUITY,AGNC INVESTMENT REIT CORP,,00123Q104,US00123Q1040,BYYHJL8,367,367.49944,0.00000,18.010000,USD,1.000000,,,,,,,
EQUITY,ALLERGAN,,G0177J108,IE00BY9D5467,BY9D546,413,413.47006,0.00000,160.790000,USD,1.000000,,,,,,,
EQUITY,ALLIANCE DATA SYSTEMS CORP,,018581108,US0185811082,2762030,50,49.92542,0.00000,173.720000,USD,1.000000,,,,,,,
EQUITY,ALLY FINANCIAL INC,,02005N100,US02005N1000,B72XK05,374,373.54350,0.00000,25.480000,USD,1.000000,,,,,,,
EQUITY,AMERCO,,023586100,US0235861004,2028174,10,10.21130,0.00000,346.450000,USD,1.000000,,,,,,,
EQUITY,AMERICAN AIRLINES GROUP INC,,02376R102,US02376R1023,BCV7KT2,297,297.27345,0.00000,31.650000,USD,1.000000,,,,,,,
EQUITY,AMERICAN INTERNATIONAL GROUP INC,,026874784,US0268747849,2027342,846,845.86893,0.00000,42.820000,USD,1.000000,,,,,,,
EQUITY,AMERISOURCEBERGEN CORP,,03073E105,US03073E1055,2795393,100,100.11638,0.00000,79.360000,USD,1.000000,,,,,,,
EQUITY,ANNALY CAPITAL MANAGEMENT REIT INC,,035710409,US0357104092,2113456,856,855.59322,0.00000,10.310000,USD,1.000000,,,,,,,
EQUITY,ANTERO RESOURCES CORP,,03674X106,US03674X1063,BFD2WR8,278,278.47232,0.00000,10.050000,USD,1.000000,,,,,,,
EQUITY,ANTHEM INC,,036752103,US0367521038,BSPHGL4,147,147.15367,0.00000,268.100000,USD,1.000000,,,,,,,
EQUITY,ARCHER DANIELS MIDLAND,,039483102,US0394831020,2047317,973,973.16271,0.00000,43.710000,USD,1.000000,,,,,,,
EQUITY,ARCONIC INC,,03965L100,US03965L1008,BD3D9G5,291,290.52429,0.00000,18.050000,USD,1.000000,,,,,,,
EQUITY,ARROW ELECTRONICS INC,,042735100,US0427351004,2051404,126,126.22486,0.00000,73.110000,USD,1.000000,,,,,,,
EQUITY,AT&T INC,,00206R102,US00206R1023,2831811,10008,10007.75254,0.00000,30.890000,USD,1.000000,,,,,,,
EQUITY,ATHENE HOLDING LTD CLASS A,,G0684D107,BMG0684D1074,BZ13MZ1,106,105.71977,0.00000,42.530000,USD,1.000000,,,,,,,
EQUITY,AXA EQUITABLE HOLDINGS INC,,054561105,US0545611057,BYWV2Y6,156,156.49266,0.00000,18.500000,USD,1.000000,,,,,,,
EQUITY,BANK OF AMERICA CORP,,060505104,US0605051046,2295677,4730,4729.90282,0.00000,28.920000,USD,1.000000,,,,,,,
EQUITY,BORGWARNER INC,,099724106,US0997241064,2111955,235,234.81469,0.00000,39.170000,USD,1.000000,,,,,,,
EQUITY,BRIGHTHOUSE FINANCIAL INC,,10922N103,US10922N1037,BF429K9,109,108.86328,0.00000,35.580000,USD,1.000000,,,,,,,
EQUITY,BUNGE LTD,,G16962105,BMG169621056,2788713,260,260.48927,0.00000,52.670000,USD,1.000000,,,,,,,
EQUITY,CAPITAL ONE FINANCIAL CORP,,14040H105,US14040H1059,2654461,374,373.96610,0.00000,78.200000,USD,1.000000,,,,,,,
