Fund Level
Fund Name,iShares MSCI UK UCITS ETF GBP (Acc) ( Accumulating ... for tax purposes. never get a distribution, get paid in shares, dont get tax bill fo rthat until you realize the gain or loss. Distributing they pay you out in cash. constituents pay their dividend  in their own rate, fund pays out accumulation of those divdiends at their own interval)
Fund Ticker,CSUK
Fund ISIN,IE00B539F030
Fund Cusip,
Fund LEI,549300WZMXFBLISX3F05
Total NAV per share,99.513713,Jan 24 2019
Distribution per Share,,
Fund Size,114406238.69,Jan 24 2019
Shares Outstanding,1149653,Jan 24 2019
Baskets Outstanding,45.986120000000,Jan 24 2019
Share Class Apportionment Ratio,1 (achao) one share class?
Exposure Basket,NO
Total Expense Ratio,0.33%

Basket Level
Trade Date,Jan 25 2019
Settlement Date
Shares per Basket (PNU),25000
Projected Transaction Fee,146.06,Jan 25 2019
Confirmed Transaction Fee,146.19,Jan 24 2019
Projected Cash for Pricing Basket,1581.54,Jan 25 2019
Projected Cash for Deliverable Basket,2498.97,Jan 25 2019
Confirmed Cash for Deliverable Basket,0,Jan 24 2019

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,3I GROUP PLC,,G88473148,GB00B1YW4409,B1YW440,1461.0000,1418.8412,0.0000,8.240000,GBP,1.000000,,,,,,,
EQUITY,ADMIRAL GROUP PLC,,G0110T106,GB00B02J6398,B02J639,305.0000,296.6547,0.0000,21.250000,GBP,1.000000,,,,,,,
EQUITY,ANGLO AMERICAN PLC,,G03764134,GB00B1XZS820,B1XZS82,1563.0000,1537.0073,0.0000,17.924000,GBP,1.000000,,,,,,,
EQUITY,ANTOFAGASTA PLC,,G0398N128,GB0000456144,0045614,589.0000,571.6290,0.0000,7.978000,GBP,1.000000,,,,,,,
EQUITY,ASHTEAD GROUP PLC,,G05320109,GB0000536739,0053673,729.0000,708.2789,0.0000,18.990000,GBP,1.000000,,,,,,,
EQUITY,ASSOCIATED BRITISH FOODS PLC,,G05600138,GB0006731235,0673123,535.0000,519.5263,0.0000,23.640000,GBP,1.000000,,,,,,,
EQUITY,ASTRAZENECA PLC,,G0593M107,GB0009895292,0989529,1860.0000,1852.2980,0.0000,54.800000,GBP,1.000000,,,,,,,
EQUITY,AUTO TRADER GROUP PLC,,G06708104,GB00BVYVFW23,BVYVFW2,1436.0000,1395.3341,0.0000,4.530000,GBP,1.000000,,,,,,,
EQUITY,AVIVA PLC,,G0683Q109,GB0002162385,0216238,5827.0000,5714.8766,0.0000,4.121000,GBP,1.000000,,,,,,,
EQUITY,BABCOCK INTERNATIONAL GROUP PLC,,G0689Q152,GB0009697037,0969703,400.0000,388.5303,0.0000,5.450000,GBP,1.000000,,,,,,,
EQUITY,BAE SYSTEMS PLC,,G06940103,GB0002634946,0263494,4749.0000,4659.2320,0.0000,5.130000,GBP,1.000000,,,,,,,
EQUITY,BARCLAYS PLC,,G08036124,GB0031348658,3134865,25251.0000,24965.5331,0.0000,1.626600,GBP,1.000000,,,,,,,
EQUITY,BARRATT DEVELOPMENTS PLC,,G08288105,GB0000811801,0081180,1531.0000,1487.4053,0.0000,5.390000,GBP,1.000000,,,,,,,
EQUITY,BERKELEY GROUP HOLDINGS (THE) PLC,,G1191G120,GB00B02L3W35,B02L3W3,188.0000,183.2944,0.0000,37.960000,GBP,1.000000,,,,,,,
EQUITY,BHP GROUP PLC,,G10877127,GB00BH0P3Z91,BH0P3Z9,3110.0000,3081.6038,0.0000,15.690000,GBP,1.000000,,,,,,,
EQUITY,BP PLC,,G12793108,GB0007980591,0798059,29293.0000,29201.7678,0.0000,5.119000,GBP,1.000000,,,,,,,
EQUITY,BRITISH AMERICAN TOBACCO PLC,,G1510J102,GB0002875804,0287580,3365.0000,3347.4883,0.0000,24.250000,GBP,1.000000,,,,,,,
EQUITY,BRITISH LAND REIT PLC,,G15540118,GB0001367019,0136701,1399.0000,1358.5839,0.0000,5.684000,GBP,1.000000,,,,,,,
EQUITY,BT GROUP PLC,,G16612106,GB0030913577,3091357,12496.0000,12303.9300,0.0000,2.362500,GBP,1.000000,,,,,,,
EQUITY,BUNZL,,G16968110,GB00B0744B38,B0744B3,505.0000,490.6046,0.0000,23.810000,GBP,1.000000,,,,,,,
EQUITY,BURBERRY GROUP PLC,,G1700D105,GB0031743007,3174300,622.0000,603.7691,0.0000,18.225000,GBP,1.000000,,,,,,,
EQUITY,CARNIVAL PLC,,G19081101,GB0031215220,3121522,257.0000,250.4234,0.0000,41.000000,GBP,1.000000,,,,,,,
EQUITY,CENTRICA PLC,,G2018Z143,GB00B033F229,B033F22,8473.0000,8228.4829,0.0000,1.344000,GBP,1.000000,,,,,,,
EQUITY,COCA COLA HBC AG,,H1512E100,CH0198251305,B9895B7,304.0000,296.4373,0.0000,25.340000,GBP,1.000000,,,,,,,
EQUITY,COMPASS GROUP PLC,,G23296208,GB00BD6K4575,BD6K457,2339.0000,2310.6972,0.0000,16.130000,GBP,1.000000,,,,,,,
EQUITY,CONVATEC GROUP PLC,,G23969101,GB00BD3VFW73,BD3VFW7,2092.0000,2031.8087,0.0000,1.390000,GBP,1.000000,,,,,,,
EQUITY,CRODA INTERNATIONAL PLC,,G25536148,GB00BYZWX769,BYZWX76,197.0000,191.9710,0.0000,47.900000,GBP,1.000000,,,,,,,
EQUITY,DCC PLC,,G2689P101,IE0002424939,0242493,147.0000,143.2389,0.0000,64.450000,GBP,1.000000,,,,,,,
EQUITY,DIAGEO PLC,,G42089113,GB0002374006,0237400,3609.0000,3592.5405,0.0000,27.350000,GBP,1.000000,,,,,,,
EQUITY,DIRECT LINE INSURANCE PLC,,G2871V114,GB00BY9D0Y18,BY9D0Y1,2077.0000,2017.3044,0.0000,3.346000,GBP,1.000000,,,,,,,
EQUITY,EASYJET PLC,,G3030S109,GB00B7KR2P84,B7KR2P8,237.0000,231.4612,0.0000,12.545000,GBP,1.000000,,,,,,,
EQUITY,EXPERIAN PLC,,G32655105,GB00B19NLV48,B19NLV4,1359.0000,1334.9680,0.0000,19.220000,GBP,1.000000,,,,,,,
EQUITY,FERGUSON,,G3408R113,JE00BFYFZP55,BFYFZP5,347.0000,338.2108,0.0000,50.600000,GBP,1.000000,,,,,,,
EQUITY,FRESNILLO PLC,,G371E2108,GB00B2QPKJ12,B2QPKJ1,339.0000,329.8387,0.0000,8.920000,GBP,1.000000,,,,,,,
EQUITY,G4S PLC,,G39283109,GB00B01FLG62,B01FLG6,2319.0000,2252.2231,0.0000,1.989000,GBP,1.000000,,,,,,,
EQUITY,GLAXOSMITHKLINE PLC,,G3910J112,GB0009252882,0925288,7269.0000,7239.4888,0.0000,14.596000,GBP,1.000000,,,,,,,
EQUITY,GLENCORE PLC,,G39420107,JE00B4T3BW64,B4T3BW6,16808.0000,16648.3496,0.0000,2.881500,GBP,1.000000,,,,,,,
EQUITY,GVC HOLDINGS PLC,,G427A6103,IM00B5VQMV65,B5VQMV6,809.0000,785.9980,0.0000,6.715000,GBP,1.000000,,,,,,,
EQUITY,HAMMERSON REIT PLC,,G4273Q107,GB0004065016,0406501,1186.0000,1151.7171,0.0000,3.530000,GBP,1.000000,,,,,,,
EQUITY,HARGREAVES LANSDOWN PLC,,G43940108,GB00B1VZ0M25,B1VZ0M2,428.0000,416.0821,0.0000,18.240000,GBP,1.000000,,,,,,,
EQUITY,HSBC HOLDINGS PLC,,G4634U169,GB0005405286,0540528,29162.0000,29090.4951,0.0000,6.331000,GBP,1.000000,,,,,,,
EQUITY,IMPERIAL BRANDS PLC,,G4720C107,GB0004544929,0454492,1410.0000,1391.4633,0.0000,24.325000,GBP,1.000000,,,,,,,
EQUITY,INFORMA PLC,,G4770L106,GB00BMJ6DW54,BMJ6DW5,1879.0000,1825.3116,0.0000,6.772000,GBP,1.000000,,,,,,,
EQUITY,INTERCONTINENTAL HOTELS GROUP PLC,,G4804L163,GB00BHJYC057,BHJYC05,258.0000,250.9453,0.0000,43.835000,GBP,1.000000,,,,,,,
EQUITY,INTERTEK GROUP PLC,,G4911B108,GB0031638363,3163836,242.0000,235.3754,0.0000,49.380000,GBP,1.000000,,,,,,,
EQUITY,INVESTEC PLC,,G49188116,GB00B17BBQ50,B17BBQ5,997.0000,967.6833,0.0000,4.904000,GBP,1.000000,,,,,,,
EQUITY,ITV PLC,,G4984A110,GB0033986497,3398649,5440.0000,5281.7024,0.0000,1.337000,GBP,1.000000,,,,,,,
EQUITY,JOHNSON MATTHEY PLC,,G51604166,GB00BZ4BQC70,BZ4BQC7,291.0000,282.6070,0.0000,29.660000,GBP,1.000000,,,,,,,
EQUITY,KINGFISHER PLC,,G5256E441,GB0033195214,3319521,3200.0000,3107.5681,0.0000,2.220000,GBP,1.000000,,,,,,,
EQUITY,LAND SECURITIES GROUP REIT PLC,,G5375M142,GB00BYW0PQ60,BYW0PQ6,1113.0000,1081.1088,0.0000,8.462000,GBP,1.000000,,,,,,,
EQUITY,LEGAL AND GENERAL GROUP PLC,,G54404127,GB0005603997,0560399,8874.0000,8694.0146,0.0000,2.570000,GBP,1.000000,,,,,,,
EQUITY,LLOYDS BANKING GROUP PLC,,G5533W248,GB0008706128,0870612,104579.0000,103785.9685,0.0000,0.576800,GBP,1.000000,,,,,,,
EQUITY,LONDON STOCK EXCHANGE GROUP PLC,,G5689U103,GB00B0SWJX34,B0SWJX3,467.0000,456.8552,0.0000,44.130000,GBP,1.000000,,,,,,,
EQUITY,MARKS AND SPENCER GROUP PLC,,G5824M107,GB0031274896,3127489,2463.0000,2391.9609,0.0000,2.910000,GBP,1.000000,,,,,,,
EQUITY,MEGGITT PLC,,G59640105,GB0005758098,0575809,1146.0000,1113.1402,0.0000,5.014000,GBP,1.000000,,,,,,,
EQUITY,MELROSE INDUSTRIES PLC,,G5973J178,GB00BZ1G4322,BZ1G432,7295.0000,7084.9204,0.0000,1.633000,GBP,1.000000,,,,,,,
EQUITY,MERLIN ENTERTAINMENT GROUP PLC,,G6019W108,GB00BDZT6P94,BDZT6P9,1083.0000,1051.8174,0.0000,3.387000,GBP,1.000000,,,,,,,
EQUITY,MICRO FOCUS INTERNATIONAL PLC,,G6117L186,GB00BD8YWM01,BD8YWM0,655.0000,635.5831,0.0000,14.960000,GBP,1.000000,,,,,,,
EQUITY,MONDI PLC,,G6258S107,GB00B1CRLC47,B1CRLC4,551.0000,535.4877,0.0000,18.075000,GBP,1.000000,,,,,,,
EQUITY,MORRISON(WM.)SUPERMARKETS PLC,,G62748119,GB0006043169,0604316,3387.0000,3289.3404,0.0000,2.300000,GBP,1.000000,,,,,,,
EQUITY,NATIONAL GRID PLC,,G6S9A7120,GB00BDR05C01,BDR05C0,5015.0000,4958.3440,0.0000,8.037000,GBP,1.000000,,,,,,,
EQUITY,NEXT PLC,,G6500M106,GB0032089863,3208986,210.0000,203.7571,0.0000,48.180000,GBP,1.000000,,,,,,,
EQUITY,NMC HEALTH PLC,,G65836101,GB00B7FC0762,B7FC076,154.0000,149.6104,0.0000,26.680000,GBP,1.000000,,,,,,,
EQUITY,PEARSON PLC,,G69651100,GB0006776081,0677608,1173.0000,1139.0176,0.0000,9.094000,GBP,1.000000,,,,,,,
EQUITY,PERSIMMON PLC,,G70202109,GB0006825383,0682538,472.0000,458.7254,0.0000,23.800000,GBP,1.000000,,,,,,,
EQUITY,PRUDENTIAL PLC,,G72899100,GB0007099541,0709954,3812.0000,3781.7063,0.0000,14.975000,GBP,1.000000,,,,,,,
EQUITY,RECKITT BENCKISER GROUP PLC,,G74079107,GB00B24CGK77,B24CGK7,988.0000,979.9261,0.0000,55.930000,GBP,1.000000,,,,,,,
EQUITY,RELX PLC,,G7493L105,GB00B2B0DG97,B2B0DG9,2912.0000,2884.4791,0.0000,16.410000,GBP,1.000000,,,,,,,
EQUITY,RIO TINTO PLC,,G75754104,GB0007188757,0718875,1724.0000,1712.3645,0.0000,37.650000,GBP,1.000000,,,,,,,
EQUITY,ROLLS-ROYCE HOLDINGS PLC,,G76225104,GB00B63H8491,B63H849,2507.0000,2454.5450,0.0000,8.730000,GBP,1.000000,,,,,,,
EQUITY,ROYAL BANK OF SCOTLAND GROUP PLC,,G7S86Z172,GB00B7T77214,B7T7721,7219.0000,7029.0340,0.0000,2.410000,GBP,1.000000,,,,,,,
EQUITY,ROYAL DUTCH SHELL PLC,,G7690A100,GB00B03MLX29,B03MLX2,6737.0000,6716.7224,0.0000,22.660000,GBP,1.000000,,,,,,,
