Fund Level
Fund Name,iShares Oil & Gas Exploration & Production UCITS ETF USD (Acc)
Fund Ticker,IOGP
Fund ISIN,IE00B6R51Z18
Fund Cusip,
Fund LEI,549300CBEHHKPOOQIR67
Total NAV per share,15.966489,Jan 24 2019
Distribution per Share,,
Fund Size,194791165.80,Jan 24 2019
Shares Outstanding,12200000,Jan 24 2019
Baskets Outstanding,122.000000000000,Jan 24 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,0.55%

Basket Level
Trade Date,Jan 28 2019
Settlement Date
Shares per Basket (PNU),100000
Projected Transaction Fee,270.00,Jan 25 2019
Confirmed Transaction Fee,270.60,Jan 24 2019
Projected Cash for Pricing Basket,1203.56,Jan 25 2019
Projected Cash for Deliverable Basket,1609.22,Jan 25 2019
Confirmed Cash for Deliverable Basket,0,Jan 24 2019

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,AKER BP,,R0139K100,NO0010345853,B1L95G3,330.0000,329.2049,0.0000,32.278408,NOK,1.000000,,,,,,,
EQUITY,ANADARKO PETROLEUM CORP,,032511107,US0325111070,2032380,1537.0000,1536.6148,0.0000,46.250000,USD,1.000000,,,,,,,
EQUITY,ANTERO RESOURCES CORP,,03674X106,US03674X1063,BFD2WR8,681.0000,676.4016,0.0000,10.000000,USD,1.000000,,,,,,,
EQUITY,APACHE CORP,,037411105,US0374111054,2043962,1157.0000,1156.5164,0.0000,31.840000,USD,1.000000,,,,,,,
EQUITY,ARC RESOURCES LTD,,00208D408,CA00208D4084,B6463M8,1084.0000,1078.3934,0.0000,7.189176,CAD,1.000000,,,,,,,
EQUITY,BAYTEX ENERGY CORP,,07317Q105,CA07317Q1054,B4VGVM3,1741.0000,1712.7869,0.0000,1.634245,CAD,1.000000,,,,,,,
EQUITY,BEACH ENERGY LTD,,Q13921103,AU000000BPT9,6088204,5318.0000,5282.3197,0.0000,1.179347,AUD,1.000000,,,,,,,
EQUITY,BIRCHCLIFF ENERGY LTD,,090697103,CA0906971035,B0B55N1,793.0000,774.6230,0.0000,2.481353,CAD,1.000000,,,,,,,
EQUITY,CABOT OIL & GAS CORP,,127097103,US1270971039,2162340,1315.0000,1313.8525,0.0000,25.480000,USD,1.000000,,,,,,,
EQUITY,CAIRN ENERGY PLC,,G17528269,GB00B74CDH82,B74CDH8,1814.0000,1795.6885,0.0000,2.423576,GBP,1.000000,,,,,,,
EQUITY,CALIFORNIA RESOURCES CORP,,13057Q206,US13057Q2066,BZBY210,151.0000,148.7213,0.0000,19.450000,USD,1.000000,,,,,,,
EQUITY,CALLON PETROLEUM,,13123X102,US13123X1028,2186072,699.0000,693.4590,0.0000,8.120000,USD,1.000000,,,,,,,
EQUITY,CANADIAN NATURAL RESOURCES LTD,,136385101,CA1363851017,2171573,3675.0000,3675.0738,0.0000,26.207879,CAD,1.000000,,,,,,,
EQUITY,CARRIZO OIL AND GAS INC,,144577103,US1445771033,2092801,263.0000,259.6475,0.0000,11.450000,USD,1.000000,,,,,,,
EQUITY,CENTENNIAL RESOURCE DEVELOPMENT IN,,15136A102,US15136A1025,BYM4Z79,583.0000,579.7377,0.0000,12.790000,USD,1.000000,,,,,,,
EQUITY,CHESAPEAKE ENERGY CORP,,165167107,US1651671075,2182779,2800.0000,2784.3115,0.0000,2.750000,USD,1.000000,,,,,,,
EQUITY,CIMAREX ENERGY,,171798101,US1717981013,2987521,291.0000,291.3689,0.0000,73.270000,USD,1.000000,,,,,,,
EQUITY,CNOOC LTD,,Y1662W117,HK0883013259,B00G0S5,49000.0000,48975.8771,0.0000,1.631415,HKD,1.000000,,,,,,,
EQUITY,CNX RESOURCES CORP,,12653C108,US12653C1080,BF3FTF4,622.0000,618.8443,0.0000,12.890000,USD,1.000000,,,,,,,
EQUITY,CONCHO RESOURCES INC,,20605P101,US20605P1012,B1YWRK7,610.0000,610.1885,0.0000,116.080000,USD,1.000000,,,,,,,
EQUITY,CONOCOPHILLIPS,,20825C104,US20825C1045,2685717,2461.0000,2460.4262,0.0000,66.120000,USD,1.000000,,,,,,,
EQUITY,CONTINENTAL RESOURCES INC,,212015101,US2120151012,B1XGWS3,264.0000,263.5410,0.0000,46.340000,USD,1.000000,,,,,,,
EQUITY,CRESCENT POINT ENERGY CORP,,22576C101,CA22576C1014,B67C8W8,1690.0000,1675.4426,0.0000,3.088572,CAD,1.000000,,,,,,,
EQUITY,DENBURY RESOURCES INC,,247916208,US2479162081,2418474,1443.0000,1420.2377,0.0000,2.020000,USD,1.000000,,,,,,,
EQUITY,DEVON ENERGY CORP,,25179M103,US25179M1036,2480677,1428.0000,1426.6639,0.0000,26.600000,USD,1.000000,,,,,,,
EQUITY,DIAMONDBACK ENERGY INC,,25278X109,US25278X1090,B7Y8YR3,470.0000,469.9918,0.0000,101.560000,USD,1.000000,,,,,,,
EQUITY,DNOORD,,R6007G105,NO0003921009,B15GGN4,2006.0000,1981.5492,0.0000,1.880767,NOK,1.000000,,,,,,,
EQUITY,ENCANA,,292505104,CA2925051047,2793193,2908.0000,2902.0492,0.0000,6.941790,CAD,1.000000,,,,,,,
EQUITY,ENERPLUS CORP,,292766102,CA2927661025,B584T89,747.0000,742.6230,0.0000,8.665992,CAD,1.000000,,,,,,,
EQUITY,EOG RESOURCES INC,,26875P101,US26875P1012,2318024,1545.0000,1545.2049,0.0000,97.240000,USD,1.000000,,,,,,,
EQUITY,EQT CORP,,26884L109,US26884L1098,2319414,775.0000,772.6639,0.0000,18.890000,USD,1.000000,,,,,,,
EQUITY,EXTRACTION OIL GAS INC,,30227M105,US30227M1053,BZ0CD34,380.0000,369.6475,0.0000,4.390000,USD,1.000000,,,,,,,
EQUITY,FREEHOLD ROYALTIES LTD,,356500108,CA3565001086,B3SJKB0,298.0000,291.8361,0.0000,6.664418,CAD,1.000000,,,,,,,
EQUITY,GRAN TIERRA ENERGY INC,,38500T101,US38500T1016,B2PPCS5,1211.0000,1192.4016,0.0000,2.406388,CAD,1.000000,,,,,,,
EQUITY,GULFPORT ENERGY CORP,,402635304,US4026353049,2398684,493.0000,488.7049,0.0000,8.760000,USD,1.000000,,,,,,,
EQUITY,HESS CORP,,42809H107,US42809H1077,2023748,759.0000,758.2787,0.0000,51.000000,USD,1.000000,,,,,,,
EQUITY,INPEX CORP,,J2467E101,JP3294460005,B10RB15,3300.0000,3297.5410,0.0000,9.225716,JPY,1.000000,,,,,,,
EQUITY,JAPAN PETROLEUM EXPLORATION LTD,,J2740Q103,JP3421100003,6711696,100.0000,119.0410,0.0000,18.916823,JPY,1.000000,,,,,,,
EQUITY,KELT EXPLORATION LTD,,488295106,CA4882951060,B9KF5Q8,496.0000,483.4016,0.0000,3.553357,CAD,1.000000,,,,,,,
EQUITY,KOSMOS ENERGY LTD,,500688106,US5006881065,BHK15K6,715.0000,705.4426,0.0000,4.780000,USD,1.000000,,,,,,,
EQUITY,LAREDO PETROLEUM INC,,516806106,US5168061068,B7DX5X2,457.0000,445.1885,0.0000,3.620000,USD,1.000000,,,,,,,
EQUITY,LUNDIN PETROLEUM,,W64566107,SE0000825820,7187627,540.0000,539.3525,0.0000,29.082960,SEK,1.000000,,,,,,,
EQUITY,MAGNOLIA OIL GAS CORP CLASS A,,559663109,US5596631094,BF2GC59,265.0000,262.0082,0.0000,12.390000,USD,1.000000,,,,,,,
EQUITY,MARATHON OIL CORP,,565849106,US5658491064,2910970,2535.0000,2532.9918,0.0000,15.800000,USD,1.000000,,,,,,,
EQUITY,MATADOR RESOURCES,,576485205,US5764852050,B7MSLL8,317.0000,315.4672,0.0000,18.720000,USD,1.000000,,,,,,,
EQUITY,MEG ENERGY CORP,,552704108,CA5527041084,B4XF9J1,771.0000,759.5328,0.0000,3.928184,CAD,1.000000,,,,,,,
EQUITY,MURPHY OIL CORP,,626717102,US6267171022,2611206,497.0000,495.6803,0.0000,27.010000,USD,1.000000,,,,,,,
EQUITY,NEWFIELD EXPLORATION,,651290108,US6512901082,2635079,613.0000,610.5164,0.0000,18.310000,USD,1.000000,,,,,,,
EQUITY,NOBLE ENERGY INC,,655044105,US6550441058,2640761,1464.0000,1462.0082,0.0000,21.290000,USD,1.000000,,,,,,,
EQUITY,NUVISTA ENERGY LTD,,67072Q104,CA67072Q1046,2901167,678.0000,664.4918,0.0000,3.201020,CAD,1.000000,,,,,,,
EQUITY,OASIS PETROLEUM INC,,674215108,US6742151086,B64R5J2,822.0000,815.0656,0.0000,6.220000,USD,1.000000,,,,,,,
EQUITY,OIL SEARCH LTD,,Y64695110,PG0008579883,6657604,4033.0000,4026.9344,0.0000,5.427837,AUD,1.000000,,,,,,,
EQUITY,PAO NOVATEK GDR,,669888109,US6698881090,B0DK750,259.0000,259.0574,0.0000,176.600000,USD,1.000000,,,,,,,
EQUITY,PAREX RESOURCES INC,,69946Q104,CA69946Q1046,B575D14,479.0000,475.8033,0.0000,14.078489,CAD,1.000000,,,,,,,
EQUITY,PARSLEY ENERGY INC CLASS A,,701877102,US7018771029,BMMV736,805.0000,802.6639,0.0000,18.140000,USD,1.000000,,,,,,,
EQUITY,PDC ENERGY INC,,69327R101,US69327R1014,B89M5F2,202.0000,201.3607,0.0000,33.540000,USD,1.000000,,,,,,,
EQUITY,PEYTO EXPLORATION & DEVELOPMENT CO,,717046106,CA7170461064,B6775F5,501.0000,491.8361,0.0000,5.030174,CAD,1.000000,,,,,,,
EQUITY,PIONEER NATURAL RESOURCE,,723787107,US7237871071,2690830,519.0000,519.4180,0.0000,138.310000,USD,1.000000,,,,,,,
EQUITY,PJSC TATNEFT SPONSORED ADR REPRESE,,876629205,US8766292051,BYY37Q7,797.0000,796.6557,0.0000,70.420000,USD,1.000000,,,,,,,
EQUITY,PRAIRIESKY ROYALTY LTD,,739721108,CA7397211086,BN320L4,639.0000,635.8115,0.0000,14.393344,CAD,1.000000,,,,,,,
EQUITY,PREMIER OIL PLC,,G7216B178,GB00B43G0577,B43G057,2625.0000,2574.6803,0.0000,0.905254,GBP,1.000000,,,,,,,
EQUITY,QEP RESOURCES INC,,74733V100,US74733V1008,B60X657,727.0000,721.4918,0.0000,8.340000,USD,1.000000,,,,,,,
EQUITY,RANGE RESOURCES CORP,,75281A109,US75281A1097,2523334,635.0000,631.0000,0.0000,10.810000,USD,1.000000,,,,,,,
EQUITY,SANTOS LTD,,Q82869118,AU000000STO6,6776703,5376.0000,5368.2295,0.0000,4.397685,AUD,1.000000,,,,,,,
EQUITY,SEVEN GENERATIONS ENERGY LTD CLASS,,81783Q105,CA81783Q1054,BRK0MM4,844.0000,838.6312,0.0000,7.496533,CAD,1.000000,,,,,,,
EQUITY,SM ENERGY,,78454L100,US78454L1008,2764188,316.0000,314.3607,0.0000,19.130000,USD,1.000000,,,,,,,
