Fund Level
Fund Name,iShares S&P 500 Health Care Sector UCITS ETF USD (Acc)
Fund Ticker,IUHC
Fund ISIN,IE00B43HR379
Fund Cusip,
Fund LEI,5493002PIW2QX6FNXI81
Total NAV per share,6.437502,Jan 24 2019
Distribution per Share,,
Fund Size,1174844115.00,Jan 24 2019
Shares Outstanding,182500000,Jan 24 2019
Baskets Outstanding,730.000000000000,Jan 24 2019
Share Class Apportionment Ratio,1
Exposure Basket,NO
Total Expense Ratio,0.15%

Basket Level
Trade Date,Jan 25 2019
Settlement Date
Shares per Basket (PNU),250000
Projected Transaction Fee,127.89,Jan 25 2019
Confirmed Transaction Fee,124.17,Jan 24 2019
Projected Cash for Pricing Basket,1212.74,Jan 25 2019
Projected Cash for Deliverable Basket,26828.03,Jan 25 2019
Confirmed Cash for Deliverable Basket,0,Jan 24 2019

Spreads
Type,Bid Spread,Offer Spread, Threshold

Allocation Details
Allocation Type,Allocation Weight

Holdings: Securities
ASSET CLASS,NAME,MIC,CUSIP,ISIN,SEDOL,DELIVERABLE BASKET QTY,PRICING BASKET QTY,EXCLUDED BASKET QTY,PRICE(in Fund Base Currency),LOCAL CURRENCY,FACTOR,ACCRUED INCOME,ALT ID1 TYPE, ALT ID1 VALUE,ALT ID2 TYPE, ALT ID2 VALUE,ALT ID3 TYPE, ALT ID3 VALUE
EQUITY,ABBOTT LABORATORIES,,002824100,US0028241000,2002305,821.0000,837.4219,0.0000,70.860000,USD,1.000000,,,,,,,
EQUITY,ABBVIE INC,,00287Y109,US00287Y1091,B92SR70,703.0000,717.2726,0.0000,85.880000,USD,1.000000,,,,,,,
EQUITY,ABIOMED INC,,003654100,US0036541003,2003698,22.0000,21.5425,0.0000,348.500000,USD,1.000000,,,,,,,
EQUITY,AGILENT TECHNOLOGIES INC,,00846U101,US00846U1016,2520153,149.0000,152.3959,0.0000,72.180000,USD,1.000000,,,,,,,
EQUITY,ALEXION PHARMACEUTICALS INC,,015351109,US0153511094,2036070,105.0000,106.6644,0.0000,117.910000,USD,1.000000,,,,,,,
EQUITY,ALIGN TECHNOLOGY INC,,016255101,US0162551016,2679204,35.0000,34.8069,0.0000,220.670000,USD,1.000000,,,,,,,
EQUITY,ALLERGAN,,G0177J108,IE00BY9D5467,BY9D546,149.0000,151.5808,0.0000,157.570000,USD,1.000000,,,,,,,
EQUITY,AMERISOURCEBERGEN CORP,,03073E105,US03073E1055,2795393,74.0000,74.9534,0.0000,78.700000,USD,1.000000,,,,,,,
EQUITY,AMGEN INC,,031162100,US0311621009,2023607,298.0000,303.8438,0.0000,200.970000,USD,1.000000,,,,,,,
EQUITY,ANTHEM INC,,036752103,US0367521038,BSPHGL4,121.0000,123.0027,0.0000,265.600000,USD,1.000000,,,,,,,
EQUITY,BAXTER INTERNATIONAL INC,,071813109,US0718131099,2085102,233.0000,236.6123,0.0000,69.950000,USD,1.000000,,,,,,,
EQUITY,BECTON DICKINSON,,075887109,US0758871091,2087807,126.0000,128.2534,0.0000,240.720000,USD,1.000000,,,,,,,
EQUITY,BIOGEN INC,,09062X103,US09062X1037,2455965,95.0000,95.8630,0.0000,332.870000,USD,1.000000,,,,,,,
EQUITY,BOSTON SCIENTIFIC CORP,,101137107,US1011371077,2113434,649.0000,661.5822,0.0000,37.230000,USD,1.000000,,,,,,,
EQUITY,BRISTOL MYERS SQUIBB,,110122108,US1101221083,2126335,765.0000,780.3356,0.0000,49.020000,USD,1.000000,,,,,,,
EQUITY,CARDINAL HEALTH INC,,14149Y108,US14149Y1082,2175672,140.0000,141.7055,0.0000,48.520000,USD,1.000000,,,,,,,
EQUITY,CELGENE CORP,,151020104,US1510201049,2182348,328.0000,334.3055,0.0000,86.460000,USD,1.000000,,,,,,,
EQUITY,CENTENE CORP,,15135B101,US15135B1017,2807061,97.0000,97.6411,0.0000,126.730000,USD,1.000000,,,,,,,
EQUITY,CERNER CORP,,156782104,US1567821046,2185284,155.0000,157.5301,0.0000,54.460000,USD,1.000000,,,,,,,
EQUITY,CIGNA CORP,,125523100,US1255231003,BHJ0775,178.0000,181.2343,0.0000,193.070000,USD,1.000000,,,,,,,
EQUITY,COOPER INC,,216648402,US2166484020,2222631,23.0000,23.4904,0.0000,271.970000,USD,1.000000,,,,,,,
EQUITY,CVS HEALTH CORP,,126650100,US1266501006,2577609,604.0000,615.7562,0.0000,64.980000,USD,1.000000,,,,,,,
EQUITY,DANAHER CORP,,235851102,US2358511028,2250870,288.0000,293.3630,0.0000,106.050000,USD,1.000000,,,,,,,
EQUITY,DAVITA INC,,23918K108,US23918K1088,2898087,58.0000,58.8740,0.0000,56.390000,USD,1.000000,,,,,,,
EQUITY,DENTSPLY SIRONA INC,,24906P109,US24906P1093,BYNPPC6,103.0000,104.8507,0.0000,40.590000,USD,1.000000,,,,,,,
EQUITY,EDWARDS LIFESCIENCES CORP,,28176E108,US28176E1082,2567116,98.0000,99.9438,0.0000,169.200000,USD,1.000000,,,,,,,
EQUITY,ELI LILLY,,532457108,US5324571083,2516152,441.0000,449.3767,0.0000,114.990000,USD,1.000000,,,,,,,
EQUITY,GILEAD SCIENCES INC,,375558103,US3755581036,2369174,604.0000,616.1288,0.0000,67.860000,USD,1.000000,,,,,,,
EQUITY,HCA HEALTHCARE INC,,40412C101,US40412C1018,B4MGBG6,126.0000,128.3425,0.0000,132.690000,USD,1.000000,,,,,,,
EQUITY,HENRY SCHEIN INC,,806407102,US8064071025,2416962,72.0000,72.8849,0.0000,76.600000,USD,1.000000,,,,,,,
EQUITY,HOLOGIC INC,,436440101,US4364401012,2433530,126.0000,127.5918,0.0000,44.580000,USD,1.000000,,,,,,,
